Q1: What gender do you identify with? ,Q2: What is your age? ,Q2: Age range,"Q3: In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Q4: Would you say you are liberal, conservative, or moderate?",Q5: What is your highest level of education? ,Q5: Other ,Q6: What is your race?,Q6: Other ,"Q7: Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? ",Q8: Do you have a Twitter account? ,Q8A: How often do you go on Twitter?,Q8B: Have you ever tweeted at the President? ,Q9: Do you believe that Russia interfered with the 2016 Presidential Election? ,Q10: Would you support military action against Russia in response to their interference with the 2016 Presidential Election? ,Q11: Did you support the 2003 Iraq War?,Q12: How likely is it that the United States will be invaded by a foreign power in the next decade?,Q13: Do you believe that the United States has the right to help overthrow governments that are hostile to American interests? ,Q14: Do you believe that the United States has interfered with the democratic elections of other nations in the past?,Q15: Some commentators have suggested that the Parkland school shooting was staged in order to get guns banned in America. Do you believe that the shooting was staged and that the survivors were paid actors?,"Q16: Do you believe that there is a ""deep state"" in America that is conspiring to undermine the Trump Presidency? ","Q17: Which type of news sources do you think produces more fake news: conservative news sources, liberal news sources, or both equally? ",Q18: What is more important to you when deciding whether something is true: science or common sense? ,Q19: Do you believe that the Russians posess a videotape containing footage of Donald Trump watching prostitutes urinating in front of him? ,"Q20: If you had to guess, what percentage of the country is currently under Sharia law?",Q20: DK/REF,"Q21: Do you believe that professional wrestling, like the WWE, is real or staged? ",Q22: Do you believe that the Earth is flat? 
Male,39,35-44,Republican,Strong Conservative,College degree,,Other,Native American,Neither approve nor disapprove,No,,,DK/REF,,Yes,Very Likely,Yes,Yes,DK/REF,Yes,Both Equally,Common Sense,No,2,,Staged,No
Male,50,45-54,Republican,Strong Conservative,College degree,,White,,Strongly Approve,No,,,No,,Yes,Somewhat Likely,Yes,Yes,Yes,Yes,Liberal News Sources,Common Sense,No,40,,Staged,No
Female,24,18-24,Independent,Moderate,Some college,,Black,,Somewhat Disapprove,No,,,No,,No,Somewhat Likely,Yes,Yes,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Male,52,45-54,Democrat,Not Very Strong conservative,Some college,,White,,Strongly Approve,No,,,Yes,No,No,Not at all likely,No,No,No,Yes,Both Equally,Science,No,8,,Staged,No
Male,50,45-54,Republican,Strong Conservative,College degree,,White,,Strongly Approve,Yes,Or several times a day?,No,No,,Yes,Not at all likely,Yes,No,No,Yes,Liberal News Sources,Common Sense,No,,DK/REF,Staged,No
Female,27,25-34,Independent,Not very Strong Liberal,Graduate degree,,White,,Strongly Disapprove,Yes,Once a week,Yes,Yes,No,No,Somewhat Likely,Yes,Yes,No,No,Both Equally,Science,No,,DK/REF,Staged,No
Male,47,45-54,Republican,Strong Liberal,Some college,,White,,Somewhat Approve,Yes,Once a week,No,Yes,Yes,Yes,Very Likely,Yes,No,No,Yes,Conservative News Sources,Common Sense,No,,DK/REF,Staged,No
Male,66,65+,Independent,Strong Liberal,Some college,,White,,Strongly Approve,No,,,No,,No,Somewhat Likely,No,No,No,No,Both Equally,Common Sense,No,50,,Real,No
Female,79,65+,Democrat,Moderate,Graduate degree,,White,,Somewhat Disapprove,No,,,Yes,DK/REF,No,Somewhat Likely,Yes,No,DK/REF,No,Both Equally,Common Sense,DK/REF,2,,DK/REF,No
Male,39,35-44,DK/REF,Moderate,Graduate degree,,White,,Neither approve nor disapprove,No,,,DK/REF,,Yes,Somewhat Likely,No,Yes,No,Yes,Both Equally,Common Sense,DK/REF,0,,Staged,No
Female,71,65+,Independent,Moderate,College degree,,White,,Somewhat Approve,No,,,No,,No,Not at all likely,Yes,No,No,No,Liberal News Sources,Common Sense,No,0,,Staged,No
Male,37,35-44,Republican,Strong Conservative,College degree,,White,,Strongly Approve,No,,,No,,DK/REF,Somewhat Likely,No,No,No,Yes,Both Equally,Common Sense,DK/REF,,DK/REF,Staged,No
Female,70,65+,Independent,Moderate,High school or less,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,Yes,No,No,DK/REF,Both Equally,Common Sense,Yes,,DK/REF,Staged,No
Male,63,55-64,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,Yes,Yes,No,No,Conservative News Sources,Science,Yes,,DK/REF,Staged,No
Female,33,25-34,Independent,Not very Strong Liberal,Graduate degree,,Latino,,Somewhat Disapprove,No,,,Yes,Yes,No,Very Likely,Yes,Yes,No,Yes,Both Equally,Common Sense,Yes,,DK/REF,Staged,No
Male,18,18-24,Republican,Not Very Strong conservative,High school or less,,White,,Somewhat Approve,No,,,No,,No,Somewhat Likely,Yes,Yes,No,No,Both Equally,Common Sense,No,45,,Staged,No
Male,30,25-34,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,Yes,Once a week,No,Yes,No,No,Not at all likely,Yes,Yes,No,No,Conservative News Sources,Science,No,0,,Staged,No
Female,32,25-34,Independent,Moderate,College degree,,White,,Somewhat Approve,Yes,Once a day,No,Yes,No,No,Somewhat Likely,Yes,No,Yes,Yes,Both Equally,Common Sense,No,,DK/REF,Staged,No
Male,40,35-44,Republican,Strong Conservative,College degree,,White,,Strongly Approve,No,,,No,,Yes,Not at all likely,Yes,Yes,Yes,Yes,Liberal News Sources,Common Sense,No,10,,Staged,No
Female,30,25-34,Independent,Moderate,College degree,,White,,DK/REF,No,,,DK/REF,,DK/REF,Somewhat Likely,No,Yes,No,DK/REF,Both Equally,Science,DK/REF,,DK/REF,Staged,No
Male,24,18-24,Independent,Moderate,Some college,,White,,Neither approve nor disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,Yes,Both Equally,Science,DK/REF,5,,Staged,No
Male,75,65+,Democrat,Moderate,Some college,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,Yes,Yes,No,No,DK/REF,Science,Yes,,DK/REF,Staged,No
Female,57,55-64,Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,No,,,No,,Yes,Not at all likely,Yes,No,No,Yes,Liberal News Sources,Common Sense,No,,DK/REF,Staged,No
Female,50,45-54,Independent,Moderate,College degree,,White,,Neither approve nor disapprove,No,,,Yes,No,No,Somewhat Likely,No,Yes,No,Yes,Both Equally,Common Sense,Yes,25,,Staged,No
Female,28,25-34,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,DK/REF,Yes,No,No,Both Equally,Science,No,0,,Staged,No
Male,40,35-44,Republican,DK/REF,Graduate degree,,White,,Somewhat Approve,No,,,DK/REF,,No,Somewhat Likely,Yes,Yes,No,Yes,Both Equally,Science,DK/REF,10,,Staged,No
Female,63,55-64,Independent,Not Very Strong conservative,High school or less,,Other,Indian,Strongly Disapprove,No,,,No,,No,Not at all likely,No,No,No,No,Both Equally,Science,No,,DK/REF,Staged,No
Male,30,25-34,Independent,Strong Conservative,Graduate degree,,White,,Somewhat Approve,No,,,No,,No,Very Likely,Yes,Yes,Yes,Yes,Conservative News Sources,Science,No,,DK/REF,Staged,No
Female,57,55-64,Democrat,Not very Strong Liberal,Some college,,White,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,No,Yes,No,No,Both Equally,Common Sense,Yes,,DK/REF,Staged,No
Male,70,65+,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,DK/ REF,,,Yes,No,No,Not at all likely,No,Yes,DK/REF,Yes,Liberal News Sources,Science,No,0,,DK/REF,No
Female,74,65+,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,No,Conservative News Sources,Science,Yes,0,,Staged,No
Male,89,65+,Independent,Moderate,Some college,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,DK/REF,Both Equally,Common Sense,Yes,,DK/REF,Staged,No
Male,68,65+,Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,No,,,No,,Yes,Somewhat Likely,Yes,Yes,No,Yes,Liberal News Sources,Science,No,1,,Staged,No
Female,55,55-64,Democrat,Moderate,College degree,,Asian,,Strongly Disapprove,No,,,Yes,No,DK/REF,Very Likely,Yes,DK/REF,DK/REF,No,Both Equally,Science,Yes,,DK/REF,Staged,No
Male,70,65+,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,Yes,Not at all likely,No,Yes,No,DK/REF,Conservative News Sources,Science,DK/REF,0,,Staged,No
Male,20,18-24,Democrat,Moderate,Some college,,White,,Somewhat Disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,No,Both Equally,Science,No,1,,Staged,No
Female,59,55-64,Republican,Moderate,Some college,,White,,Somewhat Approve,No,,,DK/REF,,DK/REF,Somewhat Likely,DK/REF,No,No,Yes,Liberal News Sources,Common Sense,No,,DK/REF,Staged,No
Male,75,65+,Independent,Not Very Strong conservative,Graduate degree,,White,,Strongly Approve,No,,,No,,Yes,Not at all likely,No,Yes,No,Yes,Liberal News Sources,Common Sense,No,5,,Staged,No
Female,71,65+,Republican,Not Very Strong conservative,Some college,,White,,Strongly Approve,No,,,No,,Yes,DK/ REF,DK/REF,No,No,Yes,DK/REF,Common Sense,No,,DK/REF,Staged,No
Female,71,65+,Republican,Strong Conservative,Graduate degree,,DK/REF,,Strongly Approve,No,,,No,,Yes,Not at all likely,Yes,No,No,Yes,DK/REF,Common Sense,No,,DK/REF,Staged,No
Male,43,35-44,Independent,Strong Conservative,Some college,,White,,Somewhat Approve,No,,,No,,Yes,Somewhat Likely,Yes,No,No,Yes,Both Equally,Common Sense,No,5,,Staged,No
Female,19,18-24,Democrat,Strong Liberal,Some college,,White,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,No,Yes,No,No,Conservative News Sources,Science,Yes,2,,Staged,No
Male,72,65+,Independent,Moderate,High school or less,,White,,Somewhat Approve,No,,,No,,No,Not at all likely,Yes,Yes,No,Yes,Both Equally,Common Sense,Yes,,DK/REF,Staged,DK/REF
Male,61,55-64,Democrat,Moderate,Some college,,White,,Neither approve nor disapprove,No,,,Yes,No,Yes,Somewhat Likely,Yes,No,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,79,65+,Republican,Not very Strong Liberal,High school or less,,White,,Strongly Approve,No,,,DK/REF,,No,Somewhat Likely,No,No,No,Yes,Both Equally,Common Sense,No,,DK/REF,DK/REF,No
Female,71,65+,Democrat,Not Very Strong conservative,High school or less,,DK/REF,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,DK/REF,Yes,No,DK/REF,DK/REF,Common Sense,Yes,,DK/REF,Staged,DK/REF
Female,54,45-54,Republican,Moderate,Graduate degree,,Black,,Neither approve nor disapprove,No,,,DK/REF,,No,Not at all likely,No,Yes,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,63,55-64,Democrat,Strong Conservative,Some college,,Black,,Somewhat Approve,No,,,Yes,No,Yes,Not at all likely,Yes,Yes,No,No,DK/REF,Science,Yes,0,,Real,No
Female,70,65+,Democrat,Moderate,Graduate degree,,White,,Strongly Approve,No,,,Yes,No,No,Somewhat Likely,No,Yes,No,No,Conservative News Sources,Science,Yes,0,,Staged,No
Female,50,45-54,Independent,Moderate,High school or less,,White,,Somewhat Disapprove,No,,,No,,No,Not at all likely,No,No,No,No,Both Equally,Science,No,,DK/REF,Real,No
Male,81,65+,Democrat,DK/REF,High school or less,,Black,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,No,Conservative News Sources,Common Sense,Yes,,DK/REF,Staged,No
Female,68,65+,Independent,Strong Liberal,Some college,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,Yes,Yes,No,No,Both Equally,DK/REF,DK/REF,,DK/REF,Staged,No
Female,60,55-64,Democrat,Moderate,High school or less,,Black,,Somewhat Approve,No,,,Yes,No,No,Very Likely,Yes,No,No,Yes,Both Equally,Common Sense,No,,DK/REF,Staged,No
Male,56,55-64,Republican,Strong Conservative,Some college,,Black,,Somewhat Approve,No,,,Yes,No,Yes,Not at all likely,No,Yes,No,Yes,Liberal News Sources,Common Sense,No,,DK/REF,Staged,No
Female,65,65+,Independent,Moderate,High school or less,,Black,,Neither approve nor disapprove,No,,,DK/REF,,No,DK/ REF,No,DK/REF,No,DK/REF,Both Equally,DK/REF,DK/REF,,DK/REF,Staged,No
Male,78,65+,Republican,Not Very Strong conservative,Some college,,White,,Somewhat Disapprove,Yes,DK/REF,No,Yes,Yes,Yes,Very Likely,Yes,No,No,Yes,Both Equally,Common Sense,Yes,,DK/REF,Real,DK/REF
Female,68,65+,Independent,Strong Conservative,College degree,,White,,Neither approve nor disapprove,No,,,DK/REF,,Yes,DK/ REF,DK/REF,DK/REF,No,DK/REF,DK/REF,DK/REF,DK/REF,20,,Staged,No
Male,69,65+,Independent,Moderate,College degree,,White,,Strongly Approve,Yes,Once a day,No,No,,Yes,Somewhat Likely,Yes,Yes,No,Yes,Liberal News Sources,Common Sense,No,20,,Staged,No
Female,68,65+,Democrat,Moderate,High school or less,,Black,,Somewhat Disapprove,No,,,DK/REF,,No,Somewhat Likely,DK/REF,Yes,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,62,55-64,Democrat,Not Very Strong conservative,Some college,,White,,Strongly Disapprove,No,,,Yes,Yes,DK/REF,Somewhat Likely,Yes,No,No,Yes,Both Equally,Common Sense,Yes,30,,Staged,No
Female,67,65+,Republican,Moderate,High school or less,,White,,Strongly Approve,No,,,No,,No,Very Likely,No,No,Yes,Yes,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,68,65+,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,No,,,Yes,Yes,No,Not at all likely,No,DK/REF,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,67,65+,DK/REF,Moderate,Some college,,White,,Neither approve nor disapprove,No,,,Yes,No,DK/REF,Not at all likely,Yes,No,No,DK/REF,DK/REF,Science,DK/REF,,DK/REF,DK/REF,No
Female,80,65+,DK/REF,DK/REF,Some college,,Latino,,DK/REF,No,,,DK/REF,,DK/REF,DK/ REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,,DK/REF,DK/REF,DK/REF
Female,60,55-64,Democrat,Not very Strong Liberal,College degree,,Asian,,Strongly Disapprove,No,,,Yes,Yes,No,Very Likely,No,Yes,No,No,Conservative News Sources,Common Sense,Yes,10,,Staged,Yes
Male,71,65+,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,No,DK/ REF,DK/REF,Yes,No,No,Conservative News Sources,Common Sense,DK/REF,,DK/REF,Staged,No
Female,83,65+,Democrat,Moderate,High school or less,,White,,Strongly Disapprove,No,,,Yes,Yes,No,Somewhat Likely,No,No,No,No,Both Equally,Common Sense,Yes,,DK/REF,Staged,No
Male,94,65+,Democrat,Moderate,College degree,,White,,Strongly Disapprove,No,,,Yes,No,Yes,Not at all likely,Yes,No,No,No,DK/REF,Common Sense,Yes,,DK/REF,Staged,No
Female,74,65+,Independent,Moderate,High school or less,,White,,Neither approve nor disapprove,No,,,Yes,No,No,Somewhat Likely,No,No,No,No,Both Equally,Common Sense,No,50,,Staged,No
Female,57,55-64,Independent,Moderate,College degree,,White,,Strongly Disapprove,Yes,Once a month,No,Yes,Yes,DK/REF,Somewhat Likely,No,Yes,No,No,DK/REF,Common Sense,Yes,,DK/REF,Staged,No
Male,43,35-44,Republican,Moderate,College degree,,Other,Indian American,Strongly Approve,No,,,Yes,Yes,No,Very Likely,No,No,Yes,No,Both Equally,Common Sense,DK/REF,,DK/REF,DK/REF,DK/REF
Female,68,65+,Republican,Strong Conservative,Some college,,White,,Neither approve nor disapprove,No,,,Yes,No,No,Somewhat Likely,Yes,No,No,Yes,Liberal News Sources,Common Sense,DK/REF,,DK/REF,Staged,No
Female,62,55-64,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,No,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,73,65+,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,No,,,DK/REF,,No,Not at all likely,No,Yes,No,No,Conservative News Sources,Science,DK/REF,0,,Staged,No
Female,53,45-54,Democrat,DK/REF,Some college,,Black,,Strongly Disapprove,No,,,DK/REF,,DK/REF,DK/ REF,DK/REF,DK/REF,No,DK/REF,DK/REF,Common Sense,DK/REF,,DK/REF,DK/REF,DK/REF
Female,60,55-64,Independent,Moderate,Some college,,Black,,Strongly Disapprove,No,,,Yes,Yes,No,Not at all likely,No,No,No,No,Both Equally,Common Sense,DK/REF,100,,Staged,No
Female,85,65+,Democrat,Strong Liberal,High school or less,,Black,,Strongly Disapprove,No,,,DK/REF,,No,DK/ REF,DK/REF,DK/REF,No,DK/REF,DK/REF,Common Sense,DK/REF,,DK/REF,Staged,No
Female,28,25-34,Independent,Moderate,College degree,,Black,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,Yes,Yes,No,No,Both Equally,Science,Yes,,DK/REF,Staged,No
Female,69,65+,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,No,,,No,,Yes,Somewhat Likely,Yes,No,No,Yes,Liberal News Sources,Common Sense,DK/REF,,DK/REF,Staged,No
Female,54,45-54,Independent,Not very Strong Liberal,College degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,Yes,Yes,No,Yes,Both Equally,Science,Yes,40,,Staged,Yes
Male,63,55-64,Democrat,Strong Liberal,College degree,,Black,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,No,Conservative News Sources,Common Sense,Yes,0,,Staged,No
Male,52,45-54,Independent,DK/REF,Some college,,White,,Somewhat Approve,No,,,DK/REF,,Yes,Not at all likely,No,Yes,No,Yes,Both Equally,Common Sense,DK/REF,0,,Staged,No
Male,50,45-54,Independent,DK/REF,College degree,,Black,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,No,DK/REF,Science,Yes,0,,Staged,No
Male,84,65+,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,No,Conservative News Sources,Science,Yes,0,,Staged,No
Female,82,65+,Republican,Strong Conservative,College degree,,White,,Strongly Approve,Yes,Once a week,No,No,,Yes,Not at all likely,Yes,No,No,Yes,Liberal News Sources,Science,DK/REF,,DK/REF,DK/REF,No
Male,67,65+,Independent,Moderate,Graduate degree,,Asian,,Strongly Disapprove,Yes,Once a week,No,No,,No,Not at all likely,No,No,No,Yes,Both Equally,Common Sense,Yes,0,,Staged,No
Female,67,65+,Democrat,Moderate,Graduate degree,,Black,,Somewhat Approve,No,,,DK/REF,,No,Not at all likely,No,No,DK/REF,No,DK/REF,Common Sense,DK/REF,,DK/REF,Staged,DK/REF
Female,73,65+,Republican,Strong Conservative,High school or less,,White,,Neither approve nor disapprove,No,,,Yes,No,No,Somewhat Likely,No,DK/REF,No,Yes,Liberal News Sources,Common Sense,No,,DK/REF,Staged,No
Female,54,45-54,Democrat,Not very Strong Liberal,Some college,,Black,,DK/REF,No,,,Yes,No,No,DK/ REF,Yes,Yes,Yes,Yes,Both Equally,Common Sense,No,,DK/REF,Staged,No
Male,67,65+,Democrat,Strong Liberal,Some college,,White,,Strongly Disapprove,No,,,Yes,No,No,Very Likely,DK/REF,Yes,No,No,Conservative News Sources,Science,No,,DK/REF,Staged,No
Female,59,55-64,Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,No,,,Yes,No,DK/REF,Not at all likely,Yes,No,No,Yes,Liberal News Sources,Common Sense,DK/REF,,DK/REF,Staged,No
Male,63,55-64,Democrat,Moderate,High school or less,,Latino,,Strongly Disapprove,No,,,Yes,Yes,No,Not at all likely,DK/REF,Yes,No,No,Conservative News Sources,Science,Yes,,DK/REF,Staged,No
Female,91,65+,Independent,Strong Conservative,Some college,,Black,,Strongly Disapprove,No,,,No,,No,Somewhat Likely,No,No,No,No,DK/REF,Common Sense,Yes,,DK/REF,DK/REF,No
Male,60,55-64,Republican,Moderate,Some college,,Black,,Strongly Approve,No,,,No,,Yes,Not at all likely,No,No,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Male,49,45-54,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,No,Conservative News Sources,Common Sense,DK/REF,0,,Staged,No
Male,68,65+,Independent,Moderate,Some college,,Latino,,Strongly Approve,No,,,No,,No,Very Likely,No,Yes,No,No,Both Equally,Common Sense,Yes,,DK/REF,Staged,No
Female,64,55-64,Republican,Moderate,Some college,,Black,,Strongly Approve,No,,,DK/REF,,No,Somewhat Likely,DK/REF,No,DK/REF,Yes,DK/REF,Common Sense,No,,DK/REF,Real,No
Female,60,55-64,Independent,DK/REF,Some college,,DK/REF,,Strongly Approve,No,,,No,,Yes,Very Likely,No,No,No,Yes,Both Equally,DK/REF,DK/REF,0,,Staged,No
Male,73,65+,Democrat,Not very Strong Liberal,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,Yes,Yes,Not at all likely,No,No,No,No,Conservative News Sources,Science,No,5,,Staged,No
Female,51,45-54,Independent,Strong Liberal,High school or less,,Latino,,Strongly Disapprove,No,,,Yes,Yes,No,Not at all likely,Yes,Yes,No,Yes,Conservative News Sources,Common Sense,Yes,50,,Staged,No
Male,67,65+,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,DK/REF,Yes,No,No,Conservative News Sources,Science,DK/REF,0,,Staged,No
Female,66,65+,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,No,,,Yes,Yes,Yes,Not at all likely,No,Yes,No,No,Conservative News Sources,Common Sense,Yes,,DK/REF,Staged,No
Female,63,55-64,Democrat,Moderate,Some college,,White,,Strongly Approve,Yes,Once a month,No,Yes,Yes,Yes,Somewhat Likely,Yes,Yes,No,Yes,Conservative News Sources,Common Sense,No,20,,Staged,No
Male,58,55-64,Republican,Moderate,College degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,Yes,No,No,No,Both Equally,Science,No,0,,Staged,No
Male,82,65+,Independent,Not very Strong Liberal,Some college,,White,,Strongly Disapprove,No,,,Yes,No,Yes,Not at all likely,No,Yes,No,No,Both Equally,Common Sense,No,3,,Staged,No
Male,58,55-64,Democrat,Moderate,Some college,,White,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,No,DK/REF,No,No,Conservative News Sources,Common Sense,Yes,7,,Staged,No
Female,61,55-64,Democrat,Strong Conservative,Graduate degree,,White,,Strongly Disapprove,No,,,No,,No,Very Likely,No,Yes,No,Yes,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,70,65+,Republican,Strong Conservative,College degree,,White,,Strongly Approve,No,,,No,,Yes,DK/ REF,No,Yes,No,Yes,Liberal News Sources,Common Sense,No,,DK/REF,Staged,No
Male,78,65+,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,Yes,Once a month,No,Yes,DK/REF,Yes,Not at all likely,No,No,No,No,Both Equally,Science,DK/REF,3,,Staged,No
Female,60,55-64,Republican,Strong Conservative,College degree,,White,,Somewhat Approve,No,,,No,,No,Somewhat Likely,No,No,No,Yes,Both Equally,Common Sense,Yes,30,,Staged,No
Male,82,65+,Independent,Moderate,High school or less,,White,,DK/REF,No,,,No,,DK/REF,Very Likely,No,No,No,DK/REF,Both Equally,Science,No,,DK/REF,Staged,No
Female,72,65+,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,Yes,Somewhat Likely,No,No,No,No,Both Equally,Common Sense,DK/REF,0,,Staged,No
Female,74,65+,Democrat,DK/REF,High school or less,,Black,,Somewhat Disapprove,No,,,DK/REF,,No,DK/ REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,Common Sense,DK/REF,,DK/REF,Staged,Yes
Female,77,65+,Republican,Strong Conservative,Some college,,White,,Strongly Approve,No,,,No,,No,Very Likely,No,Yes,No,Yes,Liberal News Sources,DK/REF,No,5,,Staged,No
Female,55,55-64,Republican,Strong Conservative,Some college,,White,,Strongly Approve,No,,,No,,Yes,Not at all likely,Yes,No,No,Yes,Conservative News Sources,Science,No,,DK/REF,Staged,No
Female,65,65+,Democrat,Strong Liberal,Some college,,White,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,No,Yes,No,No,Conservative News Sources,Common Sense,DK/REF,,DK/REF,Staged,No
Female,71,65+,Democrat,Moderate,Some college,,White,,Strongly Disapprove,DK/ REF,,,Yes,No,No,Very Likely,No,No,No,No,Both Equally,Common Sense,Yes,,DK/REF,Staged,No
Female,78,65+,Republican,DK/REF,High school or less,,White,,Strongly Approve,No,,,Yes,No,Yes,Not at all likely,DK/REF,No,No,Yes,Both Equally,Science,No,,DK/REF,DK/REF,No
Female,79,65+,Democrat,Strong Conservative,High school or less,,Black,,Strongly Disapprove,No,,,DK/REF,,Yes,Somewhat Likely,Yes,DK/REF,DK/REF,Yes,Conservative News Sources,Common Sense,DK/REF,,DK/REF,Real,No
Female,69,65+,DK/REF,Strong Conservative,Graduate degree,,White,,Strongly Approve,No,,,No,,Yes,Not at all likely,Yes,No,No,Yes,Liberal News Sources,Common Sense,No,1,,Staged,No
Female,75,65+,Independent,Moderate,Some college,,White,,Neither approve nor disapprove,No,,,Yes,No,No,DK/ REF,No,No,No,Yes,Both Equally,Common Sense,No,10,,Staged,No
Male,61,55-64,Independent,Moderate,High school or less,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,Yes,No,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,88,65+,Republican,Not Very Strong conservative,College degree,,White,,Strongly Approve,Yes,Once a week,No,DK/REF,,Yes,Not at all likely,No,DK/REF,DK/REF,Yes,Both Equally,Common Sense,No,,DK/REF,DK/REF,No
Male,73,65+,Independent,Moderate,Some college,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,DK/REF,Both Equally,Science,Yes,5,,Staged,No
Female,70,65+,Democrat,Moderate,Some college,,Black,,Strongly Disapprove,No,,,Yes,Yes,Yes,Somewhat Likely,Yes,No,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,64,55-64,Democrat,Moderate,College degree,,White,,Somewhat Disapprove,No,,,Yes,No,No,Somewhat Likely,No,Yes,No,Yes,Both Equally,Science,Yes,5,,Staged,No
Female,62,55-64,Republican,Moderate,College degree,,White,,Strongly Disapprove,Yes,Once a month,No,Yes,No,No,Not at all likely,No,Yes,No,No,Conservative News Sources,Science,DK/REF,0,,Staged,No
Male,65,65+,Independent,Strong Conservative,High school or less,,White,,Strongly Approve,No,,,No,,No,Not at all likely,No,Yes,No,Yes,Liberal News Sources,Science,No,20,,Staged,No
Female,78,65+,Democrat,Moderate,High school or less,,White,,Strongly Disapprove,No,,,Yes,Yes,No,Somewhat Likely,No,No,Yes,Yes,Both Equally,Common Sense,Yes,,DK/REF,Staged,No
Male,60,55-64,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,No,Conservative News Sources,Common Sense,DK/REF,0,,Staged,No
Male,68,65+,Independent,Strong Conservative,Some college,,White,,Strongly Approve,No,,,Yes,No,Yes,Not at all likely,No,Yes,No,Yes,Liberal News Sources,Common Sense,No,5,,Staged,No
Male,53,45-54,Democrat,Moderate,High school or less,,Black,,Strongly Disapprove,No,,,Yes,Yes,Yes,Very Likely,Yes,Yes,No,No,Both Equally,Common Sense,Yes,,DK/REF,Staged,No
Female,51,45-54,Republican,Strong Conservative,Some college,,White,,Strongly Approve,No,,,No,,DK/REF,DK/ REF,DK/REF,No,No,Yes,Both Equally,DK/REF,No,2,,Staged,No
