State,Age,Gender,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Would you say you are liberal, conservative, or moderate? ","
What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"
What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? ","
In general, do you think Americans should be more trusting of foreigners, or more suspicious of foreigners?",Do you agree or disagree with the following statement: People should not be so easily offended. (probe: strongly or somewhat?),"
Do you think that people should be free to express their political opinions in the workplace without getting fired?",Do you think the government should place tighter restrictions on who can buy a gun?,"On average, black people are less highly educated than other groups. Do you think this is mostly because of a lack of effort, or mostly because of circumstances beyond their control?",Do you believe Vladimir Putin when he said that he did not interfere with the 2016 presidential election?,"From what you have seen or heard, do you think Black Lives Matter is offensive?","
Do you think the government should place tighter restrictions on who can smoke marijuana?","
Do you think professional athetes should be allowed to sit or kneel during the national anthem as part of a political protest?",Do you think the government should place tighter restrictions on who can have access to pornography?,"Do you live in a city, suburb, or small town?","People from small towns tend to be less highly educated than people from big cities. Do you think this is mostly because of a lack of effort, or mostly because of circumstances beyond their control?","If Jesus were alive today, do you think he would support Donald Trump?"
NY,60,Male,55-64,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,Don't Know/Refused
FL,53,Male,45-54,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Approve,More suspicious,Somewhat Disagree,No,Yes,Circumstances beyond their control,No,No,Yes,No,Yes,City,Circumstances beyond their control,Yes
OK,69,Female,65+,Not very Strong Republican,Don't Know/Refused,High school or less,,White,,Somewhat Approve,More trusting,Somewhat Agree,No,Yes,Lack of effort,No,No,No,No,No,Small Town,Circumstances beyond their control,Yes
NE,33,Female,25-34,Not very Strong Republican,Not Very Strong Conservative,College degree,,Don't Know/Refused,,Somewhat Disapprove,More suspicious,Strongly Agree,No,Yes,Circumstances beyond their control,No,Yes,Yes,No,No,Suburb,Circumstances beyond their control,Don't Know/Refused
NY,45,Female,45-54,Not very Strong Republican,Moderate,Some college,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,No,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
LA,40,Female,35-44,Not very Strong Republican,Moderate,Graduate degree,,White,,Don't Know/Refused,More suspicious,Strongly Agree,Yes,No,Don't Know/Refused,Yes,Yes,Yes,Don't Know/Refused,No,City,Don't Know/Refused,Don't Know/Refused
CA,52,Male,45-54,Not very Strong Republican,Not Very Strong Conservative,College degree,,White,,Somewhat Disapprove,Don't Know/Refused,Somewhat Agree,Yes,Yes,Don't Know/Refused,No,Don't Know/Refused,Yes,No,No,City,Don't Know/Refused,No
FL,68,Female,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Disagree,Yes,No,Don't Know/Refused,Yes,Yes,Yes,No,Yes,Small Town,Don't Know/Refused,Yes
FL,90,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Somewhat Disagree,Yes,No,Lack of effort,No,Yes,No,No,Yes,Small Town,Lack of effort,Yes
LA,53,Male,45-54,Strong Republican,Moderate,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,No,No,No,No,City,Lack of effort,Yes
LA,41,Female,35-44,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,Yes,Circumstances beyond their control,Yes,Yes,Yes,No,No,Small Town,Circumstances beyond their control,Yes
NC,83,Female,65+,Not very Strong Republican,Moderate,Graduate degree,,White,,Neither Approve nor Disapprove,More trusting,Somewhat Agree,Yes,Yes,Lack of effort,Yes,Yes,No,No,No,City,Lack of effort,No
KY,68,Female,65+,Strong Republican,Don't Know/Refused,Some college,,White,,Strongly Approve,Don't Know/Refused,Somewhat Agree,Yes,Yes,Lack of effort,Yes,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
LA,87,Female,65+,Strong Republican,Moderate,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,Don't Know/Refused,No,Don't Know/Refused,Don't Know/Refused,Yes,Yes,No,Yes,City,Circumstances beyond their control,Yes
WI,71,Female,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,No,Lack of effort,Yes,Yes,No,No,No,Suburb,Don't Know/Refused,Yes
NE,74,Male,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Somewhat Agree,No,No,Lack of effort,No,Yes,Yes,No,No,Small Town,Circumstances beyond their control,Yes
OK,75,Male,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,No,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
KS,80,Male,65+,Not very Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,No,Don't Know/Refused,Yes,Yes,No,No,Yes,Suburb,Don't Know/Refused,Don't Know/Refused
KY,69,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
NY,37,Male,35-44,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,No,No,No,No,Small Town,Lack of effort,Don't Know/Refused
IA,90,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Somewhat Approve,More suspicious,Somewhat Agree,No,Yes,Circumstances beyond their control,No,No,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
PA,60,Female,55-64,Not very Strong Republican,Moderate,College degree,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,Yes,No,No,Yes,Small Town,Circumstances beyond their control,Don't Know/Refused
NY,30,Female,25-34,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,No,Lack of effort,No,Yes,Yes,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
NC,52,Female,45-54,Not very Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Somewhat Disapprove,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,No,Yes,Small Town,Circumstances beyond their control,Yes
AL,78,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Lack of effort,Yes,Don't Know/Refused,Yes,No,Yes,City,Circumstances beyond their control,Yes
IA,80,Male,65+,Not very Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,No,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
TX,67,Female,65+,Strong Republican,Don't Know/Refused,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Disagree,Yes,No,Don't Know/Refused,Yes,No,Yes,No,No,Suburb,Don't Know/Refused,Yes
PA,64,Female,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Don't Know/Refused,Don't Know/Refused,Lack of effort,Yes,Yes,Yes,No,Yes,Don't Know/Refused,Lack of effort,Yes
NC,75,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Don't Know/Refused,Don't Know/Refused,No,Yes,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
NE,71,Male,65+,Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,No,Circumstances beyond their control,Yes,Yes,No,No,Yes,Small Town,Circumstances beyond their control,Yes
OH,59,Male,55-64,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Don't Know/Refused,Yes,Yes,No,Yes,No,Suburb,Don't Know/Refused,Yes
NC,82,Female,65+,Strong Republican,Moderate,High school or less,,White,,Strongly Approve,More suspicious,Somewhat Agree,No,No,Circumstances beyond their control,No,Yes,Yes,Yes,Yes,Suburb,Circumstances beyond their control,Yes
VA,55,Female,55-64,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,No,Yes,Circumstances beyond their control,Yes,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
DE,54,Female,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Don't Know/Refused,Don't Know/Refused,Strongly Agree,Yes,No,Don't Know/Refused,Yes,Yes,No,No,Yes,Small Town,Lack of effort,Don't Know/Refused
MD,45,Female,45-54,Not very Strong Republican,Moderate,Graduate degree,,White,,Somewhat Approve,Don't Know/Refused,Somewhat Disagree,No,Yes,Circumstances beyond their control,Yes,No,No,No,Yes,Suburb,Circumstances beyond their control,Yes
NC,74,Female,65+,Not very Strong Republican,Moderate,College degree,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,No,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
MO,55,Female,55-64,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,No,Circumstances beyond their control,No,Yes,No,No,No,Don't Know/Refused,Circumstances beyond their control,Yes
TX,60,Female,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
KY,42,Female,35-44,Not very Strong Republican,Strong Liberal,Graduate degree,,White,,Neither Approve nor Disapprove,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,No,No,Don't Know/Refused,Yes,Small Town,Circumstances beyond their control,No
NJ,62,Male,55-64,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Approve,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,No,No,Yes,Small Town,Circumstances beyond their control,Don't Know/Refused
FL,50,Male,45-54,Strong Republican,Moderate,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,No,Lack of effort,Yes,Yes,Yes,No,No,City,Lack of effort,Yes
FL,58,Female,55-64,Not very Strong Republican,Not Very Strong Conservative,High school or less,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,No,No,No,Yes,City,Lack of effort,Yes
NC,50,Male,45-54,Not very Strong Republican,Moderate,Some college,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,No,Lack of effort,Don't Know/Refused,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,No
FL,54,Male,45-54,Strong Republican,Moderate,College degree,,Other,American Indian,Neither Approve nor Disapprove,More trusting,Somewhat Agree,Yes,Yes,Circumstances beyond their control,No,No,No,No,Yes,City,Circumstances beyond their control,No
FL,86,Male,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,No,Yes,No,Yes,City,Don't Know/Refused,Yes
FL,58,Female,55-64,Strong Republican,Strong Conservative,Some college,,Latino,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,Don't Know/Refused,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
PA,80,Female,65+,Not very Strong Republican,Moderate,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Yes,No,No,No,Suburb,Lack of effort,Yes
NY,83,Female,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Lack of effort,Yes,Yes,Yes,No,Yes,Suburb,Lack of effort,Yes
NY,43,Male,35-44,Strong Republican,Not Very Strong Conservative,College degree,,White,,Somewhat Approve,More suspicious,Strongly Agree,No,No,Lack of effort,Yes,Yes,No,No,No,Small Town,Lack of effort,Yes
PA,50,Male,45-54,Strong Republican,Moderate,Some college,,Latino,,Somewhat Disapprove,Don't Know/Refused,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,No,No,Yes,No,Suburb,Circumstances beyond their control,Yes
FL,61,Female,55-64,Not very Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,Yes,No,Yes,Small Town,Lack of effort,Yes
FL,54,Male,45-54,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,Yes,Suburb,Lack of effort,Yes
PA,32,Male,25-34,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,Yes,Circumstances beyond their control,Yes,Yes,No,No,Yes,Small Town,Don't Know/Refused,Yes
LA,69,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,Yes,Yes,No,Small Town,Lack of effort,Yes
OH,86,Female,65+,Strong Republican,Moderate,High school or less,,White,,Strongly Approve,More suspicious,Strongly Disagree,Yes,Yes,Circumstances beyond their control,Yes,No,Yes,Yes,No,Suburb,Don't Know/Refused,Yes
FL,78,Female,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Lack of effort,No,No,Yes,No,No,City,Circumstances beyond their control,Yes
PA,65,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Yes,Yes,No,Yes,Suburb,Lack of effort,Yes
MA,84,Female,65+,Not very Strong Republican,Strong Conservative,Some college,,White,,Somewhat Approve,Don't Know/Refused,Somewhat Agree,No,Yes,Circumstances beyond their control,No,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
FL,60,Male,55-64,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,Yes,No,No,Suburb,Circumstances beyond their control,Yes
NJ,49,Don't Know/Refused,45-54,Strong Republican,Strong Conservative,Graduate degree,,Don't Know/Refused,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,Yes,No,Yes,Suburb,Don't Know/Refused,Yes
VA,72,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Somewhat Agree,Don't Know/Refused,No,Don't Know/Refused,Yes,Yes,No,No,No,Small Town,Don't Know/Refused,Don't Know/Refused
PA,78,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Circumstances beyond their control,No,Yes,No,No,Yes,Suburb,Lack of effort,Yes
PA,50,Male,45-54,Not very Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,Don't Know/Refused,Don't Know/Refused,No,Don't Know/Refused,Don't Know/Refused,No,No,Suburb,Circumstances beyond their control,No
GA,65,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,No,No,No,Suburb,Circumstances beyond their control,Yes
MI,77,Male,65+,Strong Republican,Not Very Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,Yes,No,Yes,Small Town,Lack of effort,Yes
FL,77,Male,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Approve,More trusting,Strongly Disagree,Yes,No,Circumstances beyond their control,Yes,Yes,Yes,No,No,Small Town,Don't Know/Refused,Yes
PA,35,Male,35-44,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,Yes,Yes,Yes,Small Town,Circumstances beyond their control,Yes
PA,60,Female,55-64,Strong Republican,Strong Conservative,College degree,,Latino,,Strongly Approve,Don't Know/Refused,Somewhat Agree,No,No,Don't Know/Refused,Yes,No,Don't Know/Refused,Don't Know/Refused,Yes,Suburb,Don't Know/Refused,Don't Know/Refused
TX,88,Female,65+,Strong Republican,Strong Conservative,College degree,,White,,Neither Approve nor Disapprove,More trusting,Strongly Disagree,Yes,Yes,Lack of effort,No,Yes,Yes,No,No,Small Town,Circumstances beyond their control,Don't Know/Refused
NY,74,Male,65+,Not very Strong Republican,Moderate,College degree,,White,,Strongly Disapprove,More suspicious,Somewhat Agree,Yes,Yes,Lack of effort,Yes,No,Yes,No,No,Small Town,Circumstances beyond their control,No
MO,58,Female,55-64,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,No,Lack of effort,Yes,No,No,No,No,City,Lack of effort,No
NC,76,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,Yes,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
FL,59,Female,55-64,Strong Republican,Moderate,College degree,,White,,Don't Know/Refused,Don't Know/Refused,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,Yes,No,Don't Know/Refused,City,Don't Know/Refused,Don't Know/Refused
NY,75,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Somewhat Approve,More suspicious,Somewhat Agree,No,Yes,Circumstances beyond their control,Yes,No,No,No,Yes,Small Town,Lack of effort,No
MD,60,Male,55-64,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
IA,80,Female,65+,Strong Republican,Moderate,High school or less,,White,,Somewhat Disapprove,Don't Know/Refused,Somewhat Agree,No,Yes,Circumstances beyond their control,Don't Know/Refused,Don't Know/Refused,Yes,No,Yes,Small Town,Circumstances beyond their control,No
LA,57,Female,55-64,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,Don't Know/Refused,Yes,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
SD,42,Male,35-44,Not very Strong Republican,Don't Know/Refused,Some college,,White,,Somewhat Disapprove,More suspicious,Strongly Agree,No,No,Lack of effort,No,Don't Know/Refused,No,No,No,Small Town,Don't Know/Refused,Don't Know/Refused
OK,91,Female,65+,Not very Strong Republican,Moderate,Graduate degree,,Other,Native American,Neither Approve nor Disapprove,Don't Know/Refused,Somewhat Agree,No,Yes,Circumstances beyond their control,No,No,No,Yes,No,City,Circumstances beyond their control,No
OK,45,Male,45-54,Strong Republican,Strong Conservative,Some college,,Other,American Indian,Strongly Approve,More trusting,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,No,Small Town,Don't Know/Refused,Yes
NY,37,Male,35-44,Not very Strong Republican,Moderate,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Don't Know/Refused,No,No,No,Suburb,Circumstances beyond their control,Don't Know/Refused
OK,56,Male,55-64,Strong Republican,Strong Conservative,College degree,,Asian,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Don't Know/Refused,Yes,Yes,Yes,No,No,Small Town,Don't Know/Refused,No
FL,22,Male,18-24,Not very Strong Republican,Moderate,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,No,No,Small Town,Circumstances beyond their control,Yes
NY,46,Female,45-54,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,Yes,Yes,Yes,Small Town,Lack of effort,Yes
UT,33,Male,25-34,Not very Strong Republican,Moderate,College degree,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,No,No,No,Yes,Small Town,Circumstances beyond their control,No
ID,68,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More trusting,Somewhat Agree,Don't Know/Refused,Yes,Circumstances beyond their control,No,Yes,Yes,Yes,Yes,City,Circumstances beyond their control,Don't Know/Refused
UT,35,Female,35-44,Strong Republican,Not Very Strong Conservative,Some college,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
CO,51,Male,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Lack of effort,No,No,No,No,No,City,Don't Know/Refused,Yes
ID,73,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,Yes,No,No,Small Town,Don't Know/Refused,Yes
WY,56,Female,55-64,Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Strongly Disapprove,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,No,No,No,City,Lack of effort,Yes
UT,73,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,No,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,Don't Know/Refused
CO,46,Male,45-54,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Circumstances beyond their control,No,Yes,Yes,No,No,City,Circumstances beyond their control,Yes
CO,31,Female,25-34,Not very Strong Republican,Moderate,Some college,,White,,Somewhat Disapprove,More trusting,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,Yes,Suburb,Circumstances beyond their control,Yes
UT,53,Female,45-54,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Circumstances beyond their control,Yes,Yes,No,No,No,Suburb,Circumstances beyond their control,Yes
AZ,68,Female,65+,Strong Republican,Don't Know/Refused,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,No,Lack of effort,Don't Know/Refused,Don't Know/Refused,Yes,No,Yes,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused
CO,80,Female,65+,Strong Republican,Not very strong Liberal,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Disagree,No,Don't Know/Refused,Circumstances beyond their control,No,No,Yes,No,Yes,Small Town,Lack of effort,Yes
NE,60,Female,55-64,Strong Republican,Moderate,Other,Master's Degree,White,,Neither Approve nor Disapprove,More trusting,Somewhat Disagree,No,Yes,Circumstances beyond their control,No,No,No,Yes,Yes,City,Circumstances beyond their control,No
NE,22,Male,18-24,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,Yes,Yes,Small Town,Circumstances beyond their control,Yes
NH,57,Female,55-64,Not very Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,No,Yes,No,Yes,Suburb,Circumstances beyond their control,Don't Know/Refused
KS,39,Male,35-44,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,Yes,No,Small Town,Lack of effort,Yes
KS,38,Female,35-44,Not very Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Disapprove,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,No,No,Yes,Small Town,Circumstances beyond their control,No
OH,82,Male,65+,Not very Strong Republican,Moderate,College degree,,White,,Don't Know/Refused,More trusting,Somewhat Agree,No,Yes,Lack of effort,Yes,Yes,Yes,No,Don't Know/Refused,Suburb,Don't Know/Refused,No
NC,46,Male,45-54,Strong Republican,Moderate,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Don't Know/Refused
NY,24,Male,18-24,Strong Republican,Strong Conservative,Graduate degree,,Black,,Somewhat Disapprove,More suspicious,Somewhat Disagree,No,No,Lack of effort,No,No,No,No,No,City,Circumstances beyond their control,Don't Know/Refused
NC,32,Female,25-34,Not very Strong Republican,Moderate,Graduate degree,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,No,No,Don't Know/Refused,Don't Know/Refused,No,No,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
FL,73,Male,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Don't Know/Refused,No,No,Don't Know/Refused,Don't Know/Refused,Yes,Don't Know/Refused,Don't Know/Refused,Yes
FL,66,Female,65+,Strong Republican,Strong Conservative,College degree,,Latino,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Lack of effort,No,Yes,Yes,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
PA,54,Male,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Approve,More trusting,Somewhat Agree,No,Yes,Circumstances beyond their control,No,No,Yes,No,No,Suburb,Circumstances beyond their control,Yes
OK,28,Female,25-34,Strong Republican,Don't Know/Refused,High school or less,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,No,No,No,Yes,Small Town,Circumstances beyond their control,Don't Know/Refused
NY,55,Male,55-64,Not very Strong Republican,Don't Know/Refused,High school or less,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Don't Know/Refused,Yes,No,No,Yes,No,Small Town,Don't Know/Refused,Yes
NY,47,Female,45-54,Not very Strong Republican,Moderate,Graduate degree,,White,,Neither Approve nor Disapprove,More trusting,Somewhat Disagree,Yes,Yes,Circumstances beyond their control,No,Yes,Yes,No,Yes,City,Circumstances beyond their control,No
CA,56,Female,55-64,Strong Republican,Moderate,High school or less,,White,,Somewhat Disapprove,More suspicious,Strongly Agree,No,No,Lack of effort,Yes,Yes,No,No,No,Small Town,Circumstances beyond their control,Yes
CT,45,Male,45-54,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,Don't Know/Refused,Circumstances beyond their control,Yes,Yes,Don't Know/Refused,No,Yes,Small Town,Circumstances beyond their control,Yes
NY,50,Male,45-54,Strong Republican,Moderate,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,No,No,Suburb,Circumstances beyond their control,No
NJ,52,Male,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,Yes,Don't Know/Refused,No,Yes,No,No,Yes,Suburb,Circumstances beyond their control,Don't Know/Refused
MD,43,Male,35-44,Strong Republican,Moderate,Graduate degree,,White,,Somewhat Disapprove,More trusting,Strongly Agree,Yes,Yes,Lack of effort,Don't Know/Refused,Yes,No,No,No,Small Town,Lack of effort,Yes
AR,54,Male,45-54,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Disapprove,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,Yes,No,No,Yes,Suburb,Circumstances beyond their control,No
