Gender,Age,Age Range ,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Other,"
What is your race? (white, black, latino, asian, other)",Other,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)",Would you consider yourself pro-life or pro-choice?,"Are the people you interact with on a day-to-day basis, both in person and on social media, mostly conservatives, a mix of conservatives and liberals, or mostly liberals?",What's the first word that comes to your mind when you think of Donald Trump?,Other,Do you support or oppose Trump's plan to build a wall between Mexico and the United States?,"A number of women have accused Donald Trump of sexual misconduct. How likely is it that these allegations are true: very likely, somewhat likely, or not at all likely?","Has unemployment gone up, gone down, or stayed the same since Donald Trump became president?",True or false: Donald Trump has always publically opposed abortion.,How many times has Donald Trump been married?,Would you describe Donald Trump as a humble person?,"Donald Trump is 6 feet, 3 inches tall. If you had to guess, how much do you think he weighs?","According to reports of his recent medical exam, Donald Trump weighs 239 pounds. Do you think that number is too high, too low, or accurate?","If you were a Mexican trying to illegally enter the United States, do you think you could probably find a way to get past Trump's border wall?",Do you plan on voting for Donald Trump in 2020?,Q21
Male,35,35-44,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Sad,,Oppose,Very Likely,Gone down,FALSE,3,No,280,Accurate,Yes,No,
Male,37,35-44,Republican,Conservative,College degree,,White,,Somewhat Approve,Pro-life,Mostly Conservatives,Good,,Support,Somewhat Likely,Gone up,TRUE,2,No,230,Accurate,Yes,DK/REF,
Female,75,65+,DK/REF,Conservative,Some college,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Rude,,Support,Somewhat Likely,Gone down,TRUE,2,No,230,Too high,DK/REF,Yes,No
Male,44,35-44,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Successful,,Support,DK/REF,Gone up,DK/REF,3,No,999,Accurate,Yes,Yes,Yes
Male,66,65+,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Rude,,Oppose,Very Likely,Gone down,FALSE,3,No,290,Too low,Yes,No,
Male,46,45-54,DK/REF,DK/REF,Some college,,White,,Somewhat Approve,DK/REF,Mix of conservatives and liberals,Wall,,Support,DK/REF,Gone down,DK/REF,999,No,999,DK/REF,Yes,DK/REF,
Female,60,55-64,Independent,Moderate,High school or less,,White,,Strongly Approve,Pro-life,Mostly Liberals,Leader,,Support,Somewhat Likely,Stayed the same,DK/REF,999,No,190,Accurate,Yes,DK/REF,
Female,51,45-54,Republican,Moderate,Graduate degree,,White,,Strongly Approve,Pro-Choice,Mostly Conservatives,Childish,,Support,Somewhat Likely,Gone down,DK/REF,3,No,999,Accurate,No,Yes,Yes
Other,65,65+,Republican,Conservative,College degree,,Black,,Strongly Approve,DK/REF,Mix of conservatives and liberals,Pure awesomeness,,Support,Not at all likely,Gone down,FALSE,3,Yes,225,Accurate,No,Yes,No
Male,69,65+,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Great job,,Support,Not at all likely,Gone down,DK/REF,2,Yes,215,Too high,DK/REF,Yes,Yes
Female,26,25-34,Independent,Moderate,Graduate degree,,Latino,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Unfit,,Oppose,Very Likely,Stayed the same,TRUE,2,No,240,Accurate,Yes,No,
Female,37,35-44,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Strong,,Support,Not at all likely,Gone down,FALSE,3,No,240,Accurate,No,Yes,DK/REF
Male,59,55-64,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,Dishonest,,Oppose,Very Likely,Stayed the same,FALSE,3,No,250,Too low,Yes,No,
Male,57,55-64,Independent,Moderate,Graduate degree,,White,,Somewhat Disapprove,DK/REF,Mix of conservatives and liberals,Twitter,,DK/REF,Very Likely,Gone up,FALSE,3,No,275,Accurate,Yes,No,
Male,70,65+,Independent,Conservative,Some college,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Intelligence,,Support,DK/REF,Gone down,DK/REF,999,DK/REF,110,Accurate,Yes,DK/REF,
Male,61,55-64,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Fraud,,Oppose,Very Likely,Stayed the same,TRUE,3,No,260,Accurate,Yes,No,
Female,67,65+,Democrat,Moderate,College degree,,Black,,Strongly Disapprove,Pro-life,Mostly Conservatives,Stupid,,Oppose,Very Likely,Stayed the same,DK/REF,3,No,180,Too high,Yes,No,
Female,57,55-64,Independent,Moderate,High school or less,,White,,Somewhat Disapprove,DK/REF,Mostly Conservatives,Fake,,Support,Somewhat Likely,Stayed the same,TRUE,2,No,150,Too high,No,No,
Female,28,25-34,Democrat,Conservative,High school or less,,White,,DK/REF,Pro-life,Mostly Conservatives,,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,999,No,999,DK/REF,DK/REF,DK/REF,
Female,40,35-44,Democrat,Moderate,High school or less,,Black,,Somewhat Approve,Pro-Choice,Mix of conservatives and liberals,Bad,,Oppose,Very Likely,Stayed the same,TRUE,999,No,230,Accurate,No,No,
Male,57,55-64,Democrat,Liberal,High school or less,,Black,,Strongly Disapprove,Pro-Choice,DK/REF,Unqualified,,Oppose,Very Likely,Stayed the same,FALSE,3,No,230,Accurate,Yes,No,
Female,46,45-54,Democrat,Moderate,Graduate degree,,Latino,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Disaster,,Oppose,Very Likely,Gone down,FALSE,2,No,238,Too low,Yes,No,
Male,45,45-54,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Pompous,,Oppose,Very Likely,Stayed the same,FALSE,3,No,245,Accurate,Yes,No,
Female,45,45-54,Democrat,Moderate,College degree,,Black,,Strongly Disapprove,Pro-Choice,DK/REF,Bitch,,Support,Very Likely,Gone up,DK/REF,3,No,250,Accurate,Yes,No,
Male,38,35-44,Independent,Moderate,Some college,,Black,,Somewhat Disapprove,Pro-Choice,Mix of conservatives and liberals,Not good,,Oppose,Somewhat Likely,Gone up,DK/REF,2,No,240,Accurate,DK/REF,No,
Female,80,65+,Democrat,Liberal,High school or less,,Black,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,Prejudiced,,Oppose,Very Likely,DK/REF,TRUE,3,No,999,DK/REF,DK/REF,No,
Female,49,45-54,Independent,Liberal,Graduate degree,,DK/REF,,Strongly Disapprove,Pro-Choice,DK/REF,Demonic,,Oppose,Very Likely,Gone up,FALSE,999,No,250,Too low,Yes,No,
Female,59,55-64,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,President,,Support,DK/REF,Gone down,DK/REF,2,Yes,999,DK/REF,No,DK/REF,
Female,79,65+,Independent,Liberal,Some college,,White,,Neither approve nor disapprove,Pro-life,Mix of conservatives and liberals,Different,,Support,Somewhat Likely,Gone down,TRUE,3,No,225,Too high,Yes,No,
Female,74,65+,Republican,Moderate,High school or less,,White,,DK/REF,DK/REF,DK/REF,"I've never thought about it, but weird maybe.",,DK/REF,Somewhat Likely,Gone down,DK/REF,999,DK/REF,220,DK/REF,No,DK/REF,
Female,43,35-44,Independent,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Inappropriate,,Oppose,Very Likely,Gone down,DK/REF,3,No,190,Accurate,No,No,
Male,50,45-54,Independent,Moderate,Graduate degree,,DK/REF,,Strongly Approve,Pro-life,Mostly Liberals,President,,Oppose,Not at all likely,Gone down,DK/REF,3,No,250,Accurate,Yes,Yes,No
Female,50,45-54,Independent,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,President,,Support,DK/REF,DK/REF,FALSE,3,No,999,Accurate,Yes,DK/REF,
Female,52,45-54,Democrat,Moderate,Graduate degree,,White,,Somewhat Approve,Pro-Choice,DK/REF,President,,Support,Very Likely,Gone down,TRUE,3,No,250,Accurate,Yes,DK/REF,
Female,53,45-54,Independent,Liberal,Some college,,Latino,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Disaster,,Oppose,Very Likely,Stayed the same,DK/REF,3,No,290,Too low,DK/REF,No,
Female,62,55-64,Independent,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Liar,,Oppose,Very Likely,DK/REF,FALSE,3,No,240,Accurate,Yes,No,
Female,45,45-54,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Devil,,Oppose,Very Likely,Gone down,FALSE,3,No,280,Too low,Yes,No,
Female,62,55-64,DK/REF,DK/REF,College degree,,White,,DK/REF,DK/REF,Mostly Liberals,Not a good person,,Support,DK/REF,DK/REF,DK/REF,3,Yes,200,Accurate,DK/REF,Yes,Yes
Female,72,65+,Democrat,DK/REF,Some college,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Shit,,Oppose,Very Likely,Stayed the same,FALSE,3,No,260,Too low,Yes,No,
Male,52,45-54,Republican,Moderate,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Idiot,,Oppose,Very Likely,Stayed the same,FALSE,3,No,275,Too low,Yes,No,
Male,50,45-54,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Unqualified,,Oppose,Very Likely,Gone down,DK/REF,3,No,240,Accurate,DK/REF,No,
Female,80,65+,Independent,Conservative,Graduate degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Aggressive,,Support,DK/REF,Gone down,DK/REF,999,No,999,DK/REF,No,Yes,No
Female,60,55-64,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Idiot,,Oppose,Very Likely,Stayed the same,FALSE,3,No,280,Too low,DK/REF,No,
Female,81,65+,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,He is trying his darndest. He is trying to the right thing for the country.,,DK/REF,DK/REF,Stayed the same,DK/REF,2,Yes,999,DK/REF,Yes,Yes,DK/REF
Female,59,55-64,Democrat,Conservative,High school or less,,Latino,,DK/REF,Pro-Choice,Mix of conservatives and liberals,"Worse, not good",,Oppose,Somewhat Likely,Stayed the same,TRUE,4,No,999,Too high,Yes,No,
Male,84,65+,Democrat,Liberal,High school or less,,Black,,Somewhat Disapprove,DK/REF,Mostly Liberals,He should do a little better on what he is doing. He doesn't know how to talk with others.,,DK/REF,Very Likely,Gone down,TRUE,3,No,230,Accurate,Yes,No,
Female,39,35-44,Independent,Moderate,College degree,,Black,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Unprofessional,,Oppose,Somewhat Likely,Stayed the same,FALSE,3,No,270,Too low,Yes,No,
Male,68,65+,Independent,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Disruptive,,Oppose,Very Likely,DK/REF,FALSE,3,No,260,Too low,Yes,No,
Female,44,35-44,Republican,Conservative,College degree,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,Conservative,,Support,Not at all likely,Gone down,TRUE,3,No,230,DK/REF,Yes,Yes,No
Male,30,25-34,Independent,Moderate,Some college,,Latino,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,"He is doing good things just to cover himself. Basically, he doesn't do good things for others, especially for low income people. He only cares about his money.",,Support,Very Likely,Stayed the same,TRUE,999,No,200,Too high,No,No,
Female,26,25-34,Democrat,DK/REF,High school or less,,Latino,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Racism,,Oppose,Very Likely,Stayed the same,TRUE,2,No,230,Too low,No,No,
Male,90,65+,Independent,Moderate,High school or less,,Black,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,He is doing well.,,DK/REF,Not at all likely,DK/REF,FALSE,999,Yes,999,Too high,Yes,DK/REF,
Female,34,25-34,Republican,Moderate,College degree,,White,,Neither approve nor disapprove,Pro-life,Mix of conservatives and liberals,,DK/REF,DK/REF,Somewhat Likely,Gone down,TRUE,999,No,280,DK/REF,Yes,No,
Female,45,45-54,Independent,Conservative,Some college,,DK/REF,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Economy,,Support,Somewhat Likely,Gone down,FALSE,3,No,240,Accurate,DK/REF,Yes,No
Male,30,25-34,Democrat,Moderate,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Irrational,,Oppose,Somewhat Likely,DK/REF,DK/REF,1,No,280,Accurate,Yes,No,
Male,19,18-24,Independent,Liberal,Some college,,Black,,Somewhat Disapprove,Pro-life,Mix of conservatives and liberals,Racist,,DK/REF,DK/REF,Stayed the same,DK/REF,999,No,999,Accurate,No,No,
Male,32,25-34,Independent,Conservative,Some college,,Other,Native American,Strongly Approve,Pro-life,Mix of conservatives and liberals,President,,Support,Somewhat Likely,Gone down,TRUE,3,Yes,270,Too low,Yes,Yes,No
Male,58,55-64,Independent,Conservative,Some college,,White,,DK/REF,DK/REF,Mostly Conservatives,,DK/REF,Oppose,Somewhat Likely,Gone down,DK/REF,3,No,240,Accurate,Yes,Yes,No
Female,27,25-34,Independent,DK/REF,Some college,,Latino,,Neither approve nor disapprove,Pro-Choice,DK/REF,Twitter,,DK/REF,DK/REF,Stayed the same,DK/REF,999,DK/REF,180,Accurate,Yes,No,
Female,66,65+,Democrat,Moderate,College degree,,White,,Neither approve nor disapprove,Pro-Choice,Mostly Conservatives,A big mouth,,Oppose,Somewhat Likely,Gone down,TRUE,3,No,280,Too low,No,No,
Female,75,65+,Independent,Liberal,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Insane,,Oppose,Somewhat Likely,Gone down,FALSE,3,No,235,Accurate,Yes,No,
Male,38,35-44,Independent,DK/REF,High school or less,,White,,Strongly Disapprove,Pro-Choice,DK/REF,Joke,,DK/REF,DK/REF,DK/REF,TRUE,2,DK/REF,230,Accurate,Yes,DK/REF,
Male,40,35-44,Independent,Conservative,Some college,,Latino,,Strongly Approve,Pro-life,Mix of conservatives and liberals,He does not care about what he says.,,Support,Somewhat Likely,Gone down,TRUE,2,No,230,Accurate,Yes,Yes,No
Male,45,45-54,Republican,Conservative,Some college,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Firm,,Support,Somewhat Likely,Gone down,FALSE,2,Yes,225,Accurate,Yes,Yes,No
Male,40,35-44,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,President,,Support,Not at all likely,DK/REF,DK/REF,3,Yes,200,Too high,DK/REF,Yes,No
Male,27,25-34,Independent,Moderate,Some college,,White,,Neither approve nor disapprove,DK/REF,DK/REF,Our president,,Oppose,Somewhat Likely,DK/REF,DK/REF,999,No,200,Accurate,Yes,No,
Male,32,25-34,Independent,Moderate,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Joke,,Oppose,Very Likely,Stayed the same,TRUE,3,No,300,Accurate,Yes,No,
Male,32,25-34,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,President,,Oppose,Very Likely,DK/REF,FALSE,3,No,225,Accurate,DK/REF,No,
Female,42,35-44,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Horrible,,Oppose,Very Likely,Stayed the same,FALSE,3,No,300,Too low,Yes,No,
Female,56,55-64,DK/REF,DK/REF,High school or less,,White,,Strongly Approve,DK/REF,Mix of conservatives and liberals,President,,Support,DK/REF,DK/REF,DK/REF,999,Yes,240,Accurate,Yes,Yes,DK/REF
Female,40,35-44,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Outrageous and unhinged,,Oppose,Very Likely,Gone down,DK/REF,4,No,260,Too high,Yes,No,
Female,50,45-54,Independent,Moderate,College degree,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,Power,,Support,Not at all likely,Gone down,DK/REF,999,Yes,210,Accurate,Yes,Yes,DK/REF
Male,57,55-64,Democrat,Liberal,Some college,,Latino,,Strongly Disapprove,Pro-Choice,DK/REF,Racist,,Oppose,Very Likely,Gone up,DK/REF,3,No,300,Too low,Yes,No,
Female,40,35-44,Republican,Conservative,Graduate degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Appointed by God,,DK/REF,Somewhat Likely,Gone down,TRUE,3,No,180,DK/REF,No,Yes,No
Female,55,55-64,Democrat,Liberal,Some college,,Latino,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Crazy,,Oppose,Very Likely,Gone up,DK/REF,3,No,250,Too low,Yes,No,
Male,37,35-44,Independent,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,The Apprentice,,Oppose,Very Likely,DK/REF,FALSE,3,No,270,Accurate,DK/REF,No,
Male,40,35-44,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Liar,,Oppose,Somewhat Likely,Gone down,DK/REF,4,No,220,Accurate,Yes,No,
Male,18,18-24,Democrat,DK/REF,High school or less,,Latino,,Strongly Disapprove,DK/REF,DK/REF,Terrible person,,Oppose,Very Likely,Stayed the same,FALSE,999,No,245,Accurate,Yes,No,
Male,41,35-44,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Savage,,Support,Very Likely,Gone down,TRUE,3,Yes,280,Too low,Yes,Yes,DK/REF
Female,77,65+,Republican,Conservative,Graduate degree,,White,,Somewhat Approve,Pro-life,Mostly Conservatives,Outspoken,,Support,Somewhat Likely,Gone down,FALSE,3,No,280,Too low,No,DK/REF,
Female,36,35-44,Democrat,Liberal,Some college,,White,,Somewhat Approve,DK/REF,Mix of conservatives and liberals,President,,Support,Somewhat Likely,Gone down,TRUE,999,Yes,250,Accurate,Yes,Yes,DK/REF
Male,40,35-44,Independent,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,I don't know.,,Oppose,Very Likely,Gone down,FALSE,3,No,225,Accurate,Yes,No,
Male,44,35-44,Republican,Conservative,Other,Technical,White,,Strongly Approve,Pro-life,Mostly Conservatives,President,,Support,DK/REF,DK/REF,DK/REF,1,DK/REF,999,DK/REF,DK/REF,Yes,Yes
Male,37,35-44,Independent,Liberal,College degree,,White,,Neither approve nor disapprove,Pro-Choice,Mostly Conservatives,Goof,,Oppose,Very Likely,Stayed the same,FALSE,3,No,239,Too high,Yes,No,
Male,41,35-44,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Orange,,Oppose,Somewhat Likely,Gone down,FALSE,3,No,260,Too low,Yes,No,
Female,61,55-64,Republican,Conservative,College degree,,White,,DK/REF,Pro-life,Mix of conservatives and liberals,Hopeful,,DK/REF,Not at all likely,DK/REF,DK/REF,1,No,230,Accurate,Yes,Yes,DK/REF
Male,41,35-44,Republican,Conservative,Graduate degree,,Asian,,Strongly Approve,Pro-Choice,Mostly Liberals,Focused,,Support,Not at all likely,Gone down,FALSE,3,No,240,Accurate,DK/REF,Yes,No
Female,54,45-54,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Leader,,Support,Not at all likely,Gone down,FALSE,3,No,200,Accurate,Yes,Yes,No
Male,38,35-44,Democrat,Conservative,Some college,,Black,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Not suitable for the position,,Oppose,Very Likely,Gone down,DK/REF,3,No,265,Accurate,No,No,
Male,37,35-44,Independent,Conservative,Graduate degree,,White,,Somewhat Approve,Pro-life,Mostly Liberals,"Rich, arrogant, asshole",,Support,Very Likely,Stayed the same,TRUE,3,Yes,250,Accurate,Yes,No,
Male,42,35-44,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Genius,,Support,Not at all likely,Gone down,FALSE,999,Yes,210,Accurate,No,Yes,DK/REF
Male,37,35-44,Independent,Moderate,College degree,,DK/REF,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,Business,,Oppose,Somewhat Likely,Stayed the same,DK/REF,1,No,230,Accurate,Yes,No,
Female,42,35-44,Democrat,Liberal,Graduate degree,,Black,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Idiot,,Oppose,Very Likely,Stayed the same,FALSE,3,No,300,Too low,Yes,No,
Female,75,65+,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Disaster,,Oppose,Very Likely,Stayed the same,FALSE,3,No,259,Too low,Yes,No,
Female,31,25-34,Independent,Conservative,Graduate degree,,White,,Somewhat Approve,Pro-Choice,Mix of conservatives and liberals,President,,DK/REF,Somewhat Likely,Gone down,DK/REF,3,No,250,Accurate,Yes,Yes,No
Female,50,45-54,Republican,Conservative,Some college,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,controversial,,Support,Somewhat Likely,Gone down,DK/REF,3,No,250,Accurate,Yes,Yes,No
Male,72,65+,Democrat,Moderate,High school or less,,Black,,Somewhat Disapprove,Pro-Choice,Mix of conservatives and liberals,,DK/REF,Oppose,Somewhat Likely,Stayed the same,DK/REF,3,No,250,Accurate,No,No,
Female,73,65+,Democrat,DK/REF,College degree,,Black,,Somewhat Approve,Pro-Choice,Mostly Conservatives,,DK/REF,DK/REF,Somewhat Likely,DK/REF,DK/REF,999,Yes,999,Too high,No,No,
Female,70,65+,Democrat,Liberal,Graduate degree,,Black,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,unfair,,Oppose,Very Likely,Stayed the same,DK/REF,3,No,260,Accurate,No,No,
Male,48,45-54,DK/REF,Conservative,College degree,,Black,,Strongly Approve,Pro-Choice,Mostly Conservatives,huge,,Support,Not at all likely,Gone down,DK/REF,3,Yes,220,Accurate,No,Yes,Yes
Female,18,18-24,Democrat,Conservative,High school or less,,Black,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,idiot,,Oppose,Very Likely,Gone up,TRUE,999,No,190,Too high,Yes,No,
Male,78,65+,Democrat,Liberal,High school or less,,Black,,Strongly Disapprove,Pro-life,Mostly Liberals,unqualified,,Oppose,Very Likely,Gone up,FALSE,3,No,25,Accurate,No,No,
Female,69,65+,Democrat,Liberal,Graduate degree,,Black,,Strongly Disapprove,Pro-life,Mostly Liberals,fat,,Oppose,Very Likely,Stayed the same,TRUE,3,No,225,Accurate,Yes,No,
Female,59,55-64,Independent,Conservative,High school or less,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,leader,,Support,Somewhat Likely,Gone up,FALSE,3,No,180,Too high,Yes,No,
Male,77,65+,Democrat,Liberal,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,bozo,,Oppose,Very Likely,Gone down,FALSE,3,No,250,Too low,Yes,No,
Female,58,55-64,Republican,DK/REF,High school or less,,White,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,asshole,,Oppose,Very Likely,Stayed the same,FALSE,4,No,260,Too low,Yes,No,
Female,43,35-44,Democrat,Moderate,Some college,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,,DK/REF,Oppose,DK/REF,DK/REF,DK/REF,5,No,220,Accurate,Yes,No,
Female,55,55-64,Independent,DK/REF,High school or less,,White,,DK/REF,DK/REF,DK/REF,arrogant,,Support,Somewhat Likely,DK/REF,DK/REF,2,No,200,Too high,Yes,No,
Male,49,45-54,Independent,Moderate,Graduate degree,,Asian,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,funny,,Support,Very Likely,Gone up,FALSE,3,No,280,Too low,Yes,Yes,No
Male,55,55-64,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,deficit,,Support,Somewhat Likely,Gone down,TRUE,3,No,250,Accurate,No,Yes,DK/REF
Male,63,55-64,Independent,Conservative,High school or less,,White,,Somewhat Disapprove,Pro-Choice,Mostly Liberals,arrogant,,Support,Somewhat Likely,Gone down,FALSE,2,Yes,240,Accurate,No,No,
Female,18,18-24,Independent,Conservative,Some college,,Latino,,Neither approve nor disapprove,Pro-life,Mix of conservatives and liberals,president,,Oppose,Somewhat Likely,Stayed the same,DK/REF,999,No,250,Too low,Yes,No,
Female,55,55-64,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,idiot,,Oppose,Very Likely,Gone up,FALSE,3,No,270,Too low,Yes,No,
Male,59,55-64,Democrat,Liberal,High school or less,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,,DK/REF,Oppose,Somewhat Likely,DK/REF,DK/REF,3,Yes,225,Accurate,Yes,Yes,No
Female,48,45-54,DK/REF,DK/REF,Some college,,White,,Neither approve nor disapprove,Pro-life,DK/REF,president,,DK/REF,DK/REF,DK/REF,DK/REF,3,DK/REF,280,DK/REF,DK/REF,DK/REF,
Male,50,45-54,Independent,Moderate,College degree,,White,,Somewhat Disapprove,Pro-life,Mix of conservatives and liberals,misbehaved,,Support,Somewhat Likely,Gone down,DK/REF,3,No,250,Accurate,Yes,DK/REF,
Male,59,55-64,Independent,Moderate,Some college,,White,,Somewhat Approve,Pro-life,Mostly Conservatives,good guy,,Support,Not at all likely,Stayed the same,DK/REF,2,No,250,Accurate,DK/REF,DK/REF,
Female,62,55-64,Democrat,Conservative,Graduate degree,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,power,,Support,Not at all likely,Stayed the same,DK/REF,999,Yes,198,Too high,No,Yes,DK/REF
Other,82,65+,Republican,Liberal,DK/REF,,Black,,Strongly Approve,Pro-life,DK/REF,penis,,Support,Somewhat Likely,Gone up,DK/REF,3,Yes,999,Accurate,No,Yes,Yes
Male,60,55-64,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,phony,,Oppose,Very Likely,Gone down,TRUE,3,No,250,Too low,Yes,No,
Male,48,45-54,Independent,Moderate,College degree,,Other,Native American,Strongly Approve,Pro-life,Mix of conservatives and liberals,good,,Support,Not at all likely,Gone down,TRUE,3,No,239,Accurate,No,Yes,No
Male,68,65+,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,DK/REF,DK/REF,braggart,,Oppose,Very Likely,Gone down,DK/REF,4,No,210,Too high,Yes,No,
Male,62,55-64,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-Choice,Mostly Conservatives,great job,,Support,Somewhat Likely,Gone up,DK/REF,3,No,190,Accurate,Yes,Yes,Yes
Male,65,65+,Independent,Conservative,College degree,,White,,Strongly Approve,DK/REF,Mix of conservatives and liberals,president,,Support,Somewhat Likely,Gone down,TRUE,3,No,190,Accurate,DK/REF,Yes,No
Female,30,25-34,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,hair,,Oppose,Somewhat Likely,Gone down,TRUE,2,Yes,220,Accurate,Yes,Yes,Yes
Female,60,55-64,Independent,Liberal,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,asshole,,Oppose,Very Likely,Gone down,FALSE,4,No,210,Accurate,Yes,No,
Male,64,55-64,Democrat,Moderate,College degree,,Black,,Strongly Disapprove,Pro-life,DK/REF,He is not doing it right.,,Oppose,Very Likely,DK/REF,TRUE,4,No,225,Too high,Yes,No,
Female,61,55-64,Democrat,Moderate,High school or less,,Latino,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,dangerous,,Oppose,Very Likely,Stayed the same,TRUE,3,No,235,Accurate,No,No,
