Gender,Age,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?",What is your highest level of education?,Q5OTH1,What is your race?,Q6OTH1,Do you believe that Americans should be more inclusive of people with different backgrounds and perspectives?,Do you believe it is wrong to hold negative stereotypes about a group of people based on their beliefs?,Do you believe that men and women are equal in their talents and abilities?,"This past August, a man drove his car into a crowd of protestors at Charlottesville, killing one person and injuring nineteen others. Do you believe that Trump supporters are at least partly to blame for this act of violence?",Do you agree or disagree with the following statement: Liberals should make a greater effort to understand and respect Trump supporters.,And do you agree or disagree with this next statement: Liberal college students should be more welcoming of conservative speakers on campus.,"
And do you agree or disagree with this next statement: Whenever most scientists agree on an issue, we should believe the scientists. ",Do you believe that conservative Republicans are less compassionate than most people?,Do you believe that women in positions of power are better able to feel empathy than men?,Do you believe that women are better at multi-tasking than men?,Do you believe that most Trump supporters are racist?,Do you believe that genetically modified foods are safe to eat?,Do you believe that Muslims are at least partly to blame for acts of terrorism committed in the name of Islam?,Do you believe that America would be better or worse if everyone became gay?
Female,51,45-54,Strong Democrat,Not very strong Liberal,College degree,,White,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Agree,Agree,Agree,DON'T KNOW/REFUSED,Yes,Yes,DON'T KNOW/REFUSED,No,No,Worse
Male,66,65+,Not very strong Democrat,Not Very Strong Conservative,High school or less,,White,,Yes,Yes,Yes,Yes,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,Disagree,DON'T KNOW/REFUSED,No,Yes,Yes,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED
Male,68,65+,Not very strong Democrat,Moderate,College degree,,White,,Yes,Yes,Yes,No,Disagree,Agree,Agree,Yes,Yes,No,Yes,Yes,No,Worse
Female,64,55-64,Strong Democrat,Moderate,Some college,,Black,,Yes,Yes,Yes,No,Agree,Disagree,Disagree,No,Yes,Yes,Yes,No,No,Worse
Female,23,18-24,Strong Democrat,Not very strong Liberal,High school or less,,Black,,Yes,Yes,Yes,Yes,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,No,No,Worse
Female,27,25-34,Strong Democrat,DON'T KNOW/REFUSED,Graduate degree,,Latino,,Yes,Yes,Yes,Yes,Disagree,Agree,Disagree,No,No,Yes,Yes,No,Yes,Better
Female,63,55-64,Strong Democrat,Moderate,College degree,,Black,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,No,No,Yes,No,Yes,DON'T KNOW/REFUSED
Female,84,65+,Strong Democrat,Moderate,Graduate degree,,White,,No,Yes,Yes,No,Disagree,Agree,Agree,Yes,Yes,Yes,No,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED
Female,70,65+,Not very strong Democrat,Moderate,Some college,,White,,Yes,Yes,Yes,No,Disagree,DON'T KNOW/REFUSED,Disagree,No,No,No,No,No,No,Worse
Female,55,55-64,Strong Democrat,Moderate,College degree,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,DON'T KNOW/REFUSED,Yes,Worse
Female,74,65+,Not very strong Democrat,Moderate,Some college,,White,,Yes,Yes,Yes,No,Disagree,Agree,Disagree,No,Yes,Yes,No,No,No,DON'T KNOW/REFUSED
Male,38,35-44,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Agree,Disagree,Agree,Yes,No,No,Yes,Yes,No,Better
Female,82,65+,Not very strong Democrat,Strong Conservative,High school or less,,Black,,Yes,No,Yes,DON'T KNOW/REFUSED,Agree,Agree,Agree,No,Yes,Yes,Yes,Yes,No,Worse
Female,90,65+,Strong Democrat,Strong Conservative,High school or less,,White,,Yes,Yes,Yes,Yes,Agree,Agree,DON'T KNOW/REFUSED,Yes,Yes,Yes,No,Yes,No,Worse
Female,73,65+,Not very strong Democrat,Not Very Strong Conservative,High school or less,,White,,Yes,DON'T KNOW/REFUSED,Yes,Yes,Disagree,Disagree,Agree,No,No,Yes,Yes,No,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED
Female,72,65+,Strong Democrat,Not very strong Liberal,Some college,,White,,Yes,Yes,Yes,Yes,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,Agree,DON'T KNOW/REFUSED,Yes,Yes,No,No,No,DON'T KNOW/REFUSED
Male,51,45-54,Not very strong Democrat,Moderate,Graduate degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,Yes,No,No,Yes,No,Better
Male,60,55-64,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,Yes,No,Yes,No,Yes,DON'T KNOW/REFUSED
Male,77,65+,Strong Democrat,Moderate,High school or less,,Black,,Yes,Yes,Yes,No,Agree,Agree,Disagree,No,Yes,Yes,No,No,No,Worse
Male,65,65+,Not very strong Democrat,Moderate,College degree,,Asian,,Yes,No,Yes,Yes,Agree,Agree,Agree,Yes,Yes,Yes,Yes,No,Yes,Worse
Male,63,55-64,Strong Democrat,Moderate,College degree,,White,,Yes,Yes,Yes,No,Agree,Agree,Agree,Yes,Yes,DON'T KNOW/REFUSED,No,No,No,DON'T KNOW/REFUSED
Female,55,55-64,Strong Democrat,Strong Liberal,High school or less,,White,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Disagree,Disagree,Agree,DON'T KNOW/REFUSED,Yes,DON'T KNOW/REFUSED,Yes,No,DON'T KNOW/REFUSED,Better
Male,52,45-54,Strong Democrat,Strong Conservative,High school or less,,White,,Yes,Yes,Yes,No,Disagree,Agree,Disagree,No,No,No,No,No,Yes,Worse
Male,69,65+,Strong Democrat,Moderate,Some college,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,Better
Male,53,45-54,Strong Democrat,Moderate,Some college,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,No,No,Yes,No,Yes,Yes,Worse
Female,50,45-54,Not very strong Democrat,Not Very Strong Conservative,College degree,,Black,,Yes,Yes,Yes,No,Agree,Agree,Disagree,Yes,Yes,Yes,Yes,No,No,DON'T KNOW/REFUSED
Female,56,55-64,Strong Democrat,Not very strong Liberal,High school or less,,Black,,Yes,Yes,Yes,No,Disagree,Agree,Disagree,No,Yes,Yes,No,No,No,Worse
Female,55,55-64,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,No,DON'T KNOW/REFUSED
Female,40,35-44,Strong Democrat,Strong Liberal,College degree,,Black,,Yes,Yes,Yes,No,Disagree,Agree,Disagree,No,Yes,No,No,No,No,Worse
Female,59,55-64,Not very strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,No,Yes,Yes,Yes,No,No,Worse
Male,77,65+,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,No,Agree,DON'T KNOW/REFUSED,Agree,Yes,Yes,Yes,Yes,Yes,No,Better
Female,80,65+,Not very strong Democrat,Moderate,College degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Disagree,Yes,Yes,No,Yes,Yes,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED
Male,68,65+,Strong Democrat,DON'T KNOW/REFUSED,Graduate degree,,Asian,,Yes,DON'T KNOW/REFUSED,Yes,Yes,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,Yes,Yes,Yes,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,No,DON'T KNOW/REFUSED
Female,65,65+,Strong Democrat,Strong Liberal,Some college,,Latino,,Yes,Yes,Yes,No,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,No,Yes,DON'T KNOW/REFUSED
Female,91,65+,Strong Democrat,Moderate,College degree,,Black,,Yes,No,Yes,No,Disagree,Agree,Agree,Yes,No,Yes,Yes,Yes,Yes,Better
Female,49,45-54,Not very strong Democrat,Moderate,Some college,,White,,Yes,Yes,Yes,No,Disagree,Agree,Disagree,No,Yes,Yes,No,No,Yes,Worse
Female,60,55-64,Not very strong Democrat,DON'T KNOW/REFUSED,High school or less,,White,,DON'T KNOW/REFUSED,No,Yes,No,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,Disagree,DON'T KNOW/REFUSED,No,No,No,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED
Female,49,45-54,Strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,No,Yes,Agree,Agree,DON'T KNOW/REFUSED,Yes,Yes,Yes,Yes,No,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED
Female,20,18-24,Not very strong Democrat,Strong Liberal,Some college,,Asian,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,No,No,Yes,No,No,Better
Female,64,55-64,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,Agree,Agree,Yes,No,Yes,No,Yes,Yes,Worse
Other,30,25-34,Strong Democrat,Moderate,College degree,,Asian,,Yes,No,No,Yes,Agree,Disagree,Disagree,No,No,Yes,No,Yes,Yes,Worse
Female,24,18-24,Not very strong Democrat,Strong Conservative,College degree,,Black,,Yes,Yes,Yes,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,Agree,Disagree,Yes,Yes,Yes,No,No,No,DON'T KNOW/REFUSED
Female,40,35-44,Strong Democrat,Moderate,Graduate degree,,Other,Middle Eastern,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,No,No,Worse
Female,80,65+,Strong Democrat,Not very strong Liberal,High school or less,,Latino,,No,No,Yes,No,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,No,Worse
Female,49,45-54,Strong Democrat,Moderate,College degree,,Other,Pacific Islander,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,No,DON'T KNOW/REFUSED
Female,82,65+,Strong Democrat,Not very strong Liberal,Some college,,White,,Yes,No,Yes,DON'T KNOW/REFUSED,Disagree,Agree,Disagree,DON'T KNOW/REFUSED,No,Yes,DON'T KNOW/REFUSED,Yes,Yes,Worse
Male,73,65+,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Yes,Yes,Yes,Yes,Yes,No,Worse
Male,92,65+,Not very strong Democrat,Moderate,Graduate degree,,White,,Yes,No,Yes,No,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,No,DON'T KNOW/REFUSED,No,No,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED
Female,75,65+,Strong Democrat,Strong Liberal,Some college,,Black,,Yes,Yes,Yes,Yes,Disagree,Disagree,DON'T KNOW/REFUSED,Yes,Yes,DON'T KNOW/REFUSED,Yes,DON'T KNOW/REFUSED,No,DON'T KNOW/REFUSED
Female,54,45-54,Strong Democrat,Strong Liberal,High school or less,,Black,,No,Yes,Yes,Yes,Agree,Disagree,Disagree,No,Yes,Yes,Yes,Yes,Yes,Better
Female,94,65+,Not very strong Democrat,DON'T KNOW/REFUSED,Some college,,White,,Yes,Yes,Yes,No,Agree,Agree,DON'T KNOW/REFUSED,Yes,DON'T KNOW/REFUSED,Yes,No,DON'T KNOW/REFUSED,No,Worse
Female,65,65+,Strong Democrat,Moderate,Graduate degree,,Black,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,No,No,Worse
Female,54,45-54,Strong Democrat,Moderate,Some college,,White,,No,No,Yes,No,Disagree,Disagree,Agree,DON'T KNOW/REFUSED,Yes,Yes,DON'T KNOW/REFUSED,No,Yes,DON'T KNOW/REFUSED
Female,52,45-54,Strong Democrat,Not very strong Liberal,Some college,,White,,Yes,Yes,Yes,Yes,DON'T KNOW/REFUSED,Agree,Disagree,DON'T KNOW/REFUSED,No,No,No,No,Yes,DON'T KNOW/REFUSED
Male,62,55-64,Not very strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,No,No,DON'T KNOW/REFUSED,Yes,DON'T KNOW/REFUSED,Worse
Female,70,65+,Strong Democrat,Moderate,Graduate degree,,Black,,Yes,Yes,Yes,No,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,Disagree,Yes,Yes,Yes,DON'T KNOW/REFUSED,Yes,Yes,DON'T KNOW/REFUSED
Male,62,55-64,Strong Democrat,Not very strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,No,No,Yes,DON'T KNOW/REFUSED,No,DON'T KNOW/REFUSED
Male,79,65+,Strong Democrat,Moderate,College degree,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,DON'T KNOW/REFUSED,Yes,No,No,DON'T KNOW/REFUSED
Male,82,65+,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Yes,Yes,Yes,No,Yes,No,Better
Male,65,65+,Not very strong Democrat,Not very strong Liberal,Some college,,Black,,Yes,Yes,No,No,Disagree,Disagree,Disagree,No,No,No,No,No,Yes,Worse
Male,55,55-64,Strong Democrat,Strong Conservative,Some college,,Latino,,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Yes,Yes,Yes,Yes,No,No,Better
Female,70,65+,Strong Democrat,Moderate,Graduate degree,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,No,No,Yes,Yes,No,Worse
Male,72,65+,Strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Agree,Agree,Agree,DON'T KNOW/REFUSED,No,No,No,Yes,No,DON'T KNOW/REFUSED
Female,80,65+,Strong Democrat,DON'T KNOW/REFUSED,Graduate degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,DON'T KNOW/REFUSED,Yes,Yes,DON'T KNOW/REFUSED,Yes,DON'T KNOW/REFUSED
Male,72,65+,Not very strong Democrat,Not very strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,No,Yes,No,No,Worse
Female,58,55-64,Strong Democrat,Moderate,Graduate degree,,Black,,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Yes,DON'T KNOW/REFUSED,Yes,Yes,No,No,Worse
Male,86,65+,Strong Democrat,Strong Liberal,High school or less,,Black,,Yes,No,Yes,Yes,Disagree,Disagree,Disagree,No,No,No,No,DON'T KNOW/REFUSED,Yes,Worse
Male,32,25-34,Strong Democrat,Not very strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,No,Disagree,Agree,Disagree,No,No,Yes,No,Yes,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED
Male,51,45-54,Strong Democrat,Moderate,High school or less,,Black,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Disagree,Disagree,Disagree,No,No,No,No,No,No,Worse
Male,59,55-64,Strong Democrat,Moderate,High school or less,,White,,Yes,Yes,Yes,No,Agree,Disagree,Agree,Yes,No,Yes,No,Yes,Yes,Worse
Male,69,65+,Strong Democrat,Strong Conservative,High school or less,,Other,Indian,Yes,Yes,Yes,No,Agree,Agree,Disagree,Yes,No,Yes,No,No,Yes,Worse
Male,22,18-24,Strong Democrat,Not Very Strong Conservative,Graduate degree,,Black,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,No,No,No,No,No,No,Worse
Female,79,65+,Strong Democrat,Strong Conservative,Some college,,White,,Yes,Yes,No,No,Agree,Agree,Agree,No,Yes,No,No,No,Yes,Worse
Female,69,65+,Strong Democrat,Moderate,High school or less,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,Yes,Yes,Yes,DON'T KNOW/REFUSED,Yes,Worse
Female,83,65+,Strong Democrat,Moderate,High school or less,,Latino,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Agree,Disagree,Agree,No,Yes,No,Yes,Yes,No,Better
Female,70,65+,Strong Democrat,Moderate,High school or less,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,DON'T KNOW/REFUSED,Yes,Yes,No,Yes,DON'T KNOW/REFUSED
Female,65,65+,Strong Democrat,Moderate,Graduate degree,,White,,Yes,No,Yes,No,Disagree,Disagree,Agree,No,No,Yes,Yes,No,No,Better
Male,24,18-24,Strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,No,Agree,Agree,Agree,Yes,No,Yes,DON'T KNOW/REFUSED,Yes,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED
Male,57,55-64,Not very strong Democrat,Strong Liberal,College degree,,Black,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,No,No,Yes,No,No,No,Worse
Female,46,45-54,Strong Democrat,Moderate,Some college,,Latino,,Yes,No,Yes,No,Agree,Agree,Agree,No,No,No,Yes,Yes,Yes,Worse
Female,34,25-34,Strong Democrat,Moderate,Some college,,Latino,,Yes,Yes,Yes,Yes,Agree,Disagree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,Better
Female,62,55-64,Not very strong Democrat,Moderate,Some college,,Latino,,Yes,Yes,Yes,No,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,DON'T KNOW/REFUSED
Female,34,25-34,Not very strong Democrat,Moderate,College degree,,Asian,,No,No,Yes,Yes,Disagree,Disagree,Disagree,No,No,Yes,Yes,No,No,Worse
Female,48,45-54,Not very strong Democrat,Moderate,Graduate degree,,Asian,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Disagree,Agree,Disagree,Yes,Yes,Yes,Yes,No,No,Worse
Male,55,55-64,Strong Democrat,Moderate,College degree,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,No,No,DON'T KNOW/REFUSED,Yes,Worse
Female,35,35-44,Strong Democrat,Not very strong Liberal,Some college,,DON'T KNOW/REFUSED,,No,Yes,Yes,DON'T KNOW/REFUSED,Agree,Disagree,Agree,Yes,Yes,Yes,Yes,DON'T KNOW/REFUSED,No,DON'T KNOW/REFUSED
Male,33,25-34,Not very strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,No,Yes,Yes,Agree,Agree,Agree,Yes,Yes,No,No,No,Yes,DON'T KNOW/REFUSED
Male,45,45-54,Not very strong Democrat,Not very strong Liberal,College degree,,White,,Yes,Yes,Yes,No,Agree,Disagree,Agree,Yes,No,No,No,No,No,Worse
Male,47,45-54,Strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,No,Yes,Yes,Yes,No,Worse
Female,85,65+,Strong Democrat,Moderate,Graduate degree,,White,,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Yes,Yes,Yes,Yes,DON'T KNOW/REFUSED,Yes,Worse
Female,80,65+,Not very strong Democrat,Not very strong Liberal,High school or less,,White,,Yes,No,Yes,Yes,Agree,Agree,Agree,No,Yes,Yes,No,Yes,Yes,DON'T KNOW/REFUSED
Male,91,65+,Strong Democrat,Moderate,High school or less,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,No,No,Yes,No,No,Worse
Female,50,45-54,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Agree,DON'T KNOW/REFUSED,Agree,Yes,Yes,DON'T KNOW/REFUSED,No,DON'T KNOW/REFUSED,No,DON'T KNOW/REFUSED
Female,84,65+,Strong Democrat,Moderate,Some college,,Asian,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Agree,Agree,Agree,Yes,Yes,Yes,Yes,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,Worse
Male,61,55-64,Strong Democrat,Moderate,Graduate degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,No,No,No,No,Yes,No,Worse
Male,70,65+,Strong Democrat,Moderate,College degree,,White,,Yes,No,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,Worse
Male,84,65+,Not very strong Democrat,Moderate,High school or less,,White,,Yes,No,No,Yes,Disagree,Agree,Disagree,No,No,No,No,No,No,Worse
Female,76,65+,Strong Democrat,Moderate,College degree,,Black,,Yes,Yes,Yes,Yes,Disagree,Agree,Disagree,Yes,Yes,Yes,Yes,DON'T KNOW/REFUSED,Yes,Worse
Male,57,55-64,Not very strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,No,Agree,Agree,Agree,No,Yes,No,No,Yes,No,DON'T KNOW/REFUSED
Female,69,65+,Strong Democrat,Not very strong Liberal,Some college,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,No,Yes,Yes,No,No,Worse
Female,65,65+,Strong Democrat,Moderate,Graduate degree,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,Yes,Yes,Yes,No,DON'T KNOW/REFUSED
Male,58,55-64,Strong Democrat,Moderate,Graduate degree,,White,,Yes,No,Yes,No,Agree,Agree,Agree,No,Yes,No,DON'T KNOW/REFUSED,No,No,Worse
Female,83,65+,Not very strong Democrat,Moderate,High school or less,,White,,No,No,Yes,No,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,Worse
Male,79,65+,Strong Democrat,Strong Liberal,Some college,,White,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Disagree,DON'T KNOW/REFUSED,Agree,DON'T KNOW/REFUSED,Yes,No,Yes,Yes,No,Worse
Female,74,65+,Strong Democrat,Moderate,College degree,,White,,Yes,Yes,Yes,Yes,Disagree,DON'T KNOW/REFUSED,Agree,Yes,Yes,DON'T KNOW/REFUSED,Yes,Yes,No,DON'T KNOW/REFUSED
Female,85,65+,Strong Democrat,Moderate,Graduate degree,,White,,Yes,Yes,Yes,Yes,Disagree,DON'T KNOW/REFUSED,Agree,Yes,Yes,Yes,Yes,DON'T KNOW/REFUSED,Yes,Worse
Male,81,65+,Strong Democrat,Not very strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Yes,Yes,Yes,Yes,No,No,DON'T KNOW/REFUSED
Female,83,65+,Strong Democrat,Strong Liberal,Some college,,White,,Yes,No,Yes,Yes,Disagree,Agree,Agree,Yes,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,No,DON'T KNOW/REFUSED,Yes,DON'T KNOW/REFUSED
Female,58,55-64,Strong Democrat,Not very strong Liberal,Some college,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,No,No,No,No,Worse
Female,79,65+,Strong Democrat,Moderate,Graduate degree,,White,,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Yes,No,Yes,Yes,Yes,DON'T KNOW/REFUSED,Worse
Female,67,65+,Strong Democrat,Strong Conservative,High school or less,,White,,Yes,No,Yes,No,Agree,Agree,Disagree,No,Yes,Yes,No,No,Yes,Worse
Female,70,65+,Strong Democrat,Strong Liberal,Some college,,White,,Yes,Yes,Yes,No,Disagree,Agree,Agree,Yes,Yes,Yes,No,Yes,Yes,Worse
Female,86,65+,Strong Democrat,Moderate,High school or less,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,No,Yes,Yes,Yes,Yes,Yes,Better
Male,77,65+,Strong Democrat,Strong Liberal,Some college,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Disagree,Yes,Yes,Yes,Yes,No,No,Worse
Female,57,55-64,Strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,Yes,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,No,No,DON'T KNOW/REFUSED
Male,72,65+,Strong Democrat,Moderate,Some college,,White,,No,No,Yes,Yes,Disagree,Agree,Agree,Yes,DON'T KNOW/REFUSED,Yes,No,Yes,No,Worse
Male,25,25-34,Strong Democrat,Strong Liberal,High school or less,,Latino,,Yes,Yes,Yes,No,Disagree,Agree,Disagree,No,No,No,No,No,No,DON'T KNOW/REFUSED
Male,27,25-34,Not very strong Democrat,Moderate,Graduate degree,,Latino,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,Yes,Yes,Yes,No,Yes,Worse
Female,63,55-64,Strong Democrat,Not very strong Liberal,High school or less,,Latino,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Agree,Agree,Disagree,No,No,No,No,Yes,Yes,Worse
Male,62,55-64,Not very strong Democrat,DON'T KNOW/REFUSED,High school or less,,White,,DON'T KNOW/REFUSED,Yes,Yes,Yes,Agree,Agree,Disagree,No,No,No,No,No,No,DON'T KNOW/REFUSED
Male,59,55-64,Strong Democrat,Strong Liberal,Some college,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,No,Better
Male,56,55-64,Not very strong Democrat,Moderate,Graduate degree,,Black,,Yes,No,Yes,Yes,Agree,Agree,Agree,Yes,Yes,Yes,Yes,No,Yes,Worse
Male,68,65+,Strong Democrat,Moderate,Some college,,White,,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Yes,Yes,Yes,Yes,No,Yes,Better
Male,52,45-54,Not very strong Democrat,Moderate,High school or less,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,Yes,No,No,No,DON'T KNOW/REFUSED
Male,34,25-34,Strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,No,Agree,Disagree,Agree,No,No,No,No,Yes,No,DON'T KNOW/REFUSED
Female,47,45-54,Strong Democrat,Strong Liberal,College degree,,Black,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,No,Yes,Yes,Yes,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED
Male,45,45-54,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,No,Yes,No,Yes,No,DON'T KNOW/REFUSED
Male,46,45-54,Not very strong Democrat,Moderate,High school or less,,White,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Agree,Disagree,Agree,DON'T KNOW/REFUSED,No,No,No,No,No,DON'T KNOW/REFUSED
Male,35,35-44,Not very strong Democrat,Strong Conservative,High school or less,,White,,No,No,No,No,Agree,Agree,Disagree,No,No,No,No,No,Yes,Worse
Male,39,35-44,Strong Democrat,Strong Liberal,Some college,,Latino,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,No,No,No,Yes,Yes,DON'T KNOW/REFUSED
Male,22,18-24,Not very strong Democrat,Moderate,Some college,,Asian,,Yes,Yes,Yes,Yes,DON'T KNOW/REFUSED,Agree,Disagree,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,Yes,Yes,Yes,No,DON'T KNOW/REFUSED
Male,46,45-54,Strong Democrat,Moderate,College degree,,White,,Yes,Yes,Yes,No,Disagree,Disagree,Agree,Yes,No,No,No,Yes,Yes,Worse
Male,27,25-34,Not very strong Democrat,Not very strong Liberal,Graduate degree,,Asian,,Yes,Yes,Yes,Yes,Agree,Agree,Disagree,No,No,No,Yes,No,No,Worse
Male,35,35-44,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,Agree,Agree,No,Yes,Yes,Yes,DON'T KNOW/REFUSED,No,DON'T KNOW/REFUSED
Female,60,55-64,Strong Democrat,Moderate,Some college,,Black,,Yes,Yes,No,No,Disagree,Agree,Agree,Yes,Yes,Yes,No,Yes,No,Worse
